matchday,ta_key,tb_key,ta_odds,draw_odds,tb_odds,ta_goals,tb_goals,twoone_goals_home,twoone_goals_away,odds_goals_home,odds_goals_away,lgb_class_goals_home,lgb_class_goals_away,lgb_goals_goals_home,lgb_goals_goals_away,max_goals_home,max_goals_away
29,eintracht-frankfurt,sc-freiburg,2.46,3.39,2.93,1,2,2.0,1.0,2.0,1.0,2,1,2,1,1,2
31,eintracht-frankfurt,1899-hoffenheim,2.53,3.7,2.67,2,2,2.0,1.0,1.0,1.0,1,2,1,2,2,2
33,eintracht-frankfurt,borussia-moenchengladbach,2.34,3.92,2.79,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
1,fc-augsburg,1899-hoffenheim,3.19,3.68,2.17,0,4,1.0,2.0,1.0,2.0,1,2,1,2,0,4
3,fc-augsburg,bayer-leverkusen,4.75,3.87,1.74,1,4,1.0,2.0,1.0,2.0,1,2,1,2,1,4
5,fc-augsburg,borussia-moenchengladbach,4.1,3.9,1.84,1,0,1.0,2.0,1.0,2.0,1,3,1,3,1,0
8,fc-augsburg,arminia-bielefeld,2.3,3.21,3.32,1,1,2.0,1.0,2.0,1.0,1,1,2,1,1,1
10,fc-augsburg,vfb-stuttgart,2.94,3.26,2.49,4,1,1.0,2.0,1.0,2.0,1,2,1,2,4,1
12,fc-augsburg,fc-bayern-muenchen,14.62,7.65,1.19,2,1,1.0,2.0,1.0,4.0,1,4,1,3,2,1
14,fc-augsburg,vfl-bochum,2.35,3.33,3.14,2,3,2.0,1.0,2.0,1.0,2,1,2,1,2,3
16,fc-augsburg,rb-leipzig,6.38,4.7,1.48,1,1,1.0,2.0,1.0,3.0,1,3,1,3,1,1
19,fc-augsburg,eintracht-frankfurt,3.46,3.53,2.11,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
21,fc-augsburg,1-fc-union-berlin,2.78,3.31,2.62,2,0,1.0,2.0,1.0,1.0,1,1,2,1,2,0
23,fc-augsburg,sc-freiburg,3.1,3.37,2.36,1,2,1.0,2.0,1.0,2.0,1,2,1,2,1,2
24,fc-augsburg,borussia-dortmund,5.36,4.23,1.62,1,1,1.0,2.0,1.0,2.0,1,3,1,3,1,1
